filename,relative_path,file_size_bytes,sha256
feature8_7_1_bootstrap_comparison.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_bootstrap_comparison.csv,337,9b28d25c2703e63eeced83af143049d89eb6263a5dad00efbe5f964f06480533
feature8_7_1_confusion_matrix_reconstruction.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_confusion_matrix_reconstruction.csv,119,4996c9686a96f79a15c3b726aa16dd185af805e7b8826976393b6b118173083b
feature8_7_1_error_analysis.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_error_analysis.csv,64952,7760d9e58ac85f395c175dcfeb66c054472a13502778bce0ee98a2f4e66a0ff7
feature8_7_1_final_audit_report.md,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_final_audit_report.md,4310,c821db974cb8c281e6ace4aa309489937a3c8982f6cb1d642db56492c3e39b36
feature8_7_1_generalization_summary.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_generalization_summary.csv,454,d3b19a2a987afda7be4229595e3a73d97c680d9d38314cda1abcfd7b7a72174a
feature8_7_1_integrity_audit.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_integrity_audit.csv,770,0ee5faf55995869467c9eae641977a70586b662706983925d110b712fa7552a3
feature8_7_1_metric_reconstruction.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_metric_reconstruction.csv,1777,c9014cab837dfc446d0ce16dc73dc96898f276a7c0fa539d9848bb4983991908
feature8_7_1_population_comparison.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_population_comparison.csv,253,fae6c2fca40d0dc83be2e052ed90028abe79fa3900210aecf7d1c327b352fa8b
feature8_7_1_prediction_alignment.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_prediction_alignment.csv,247,0e6be7b066fc5449180795de6f21cac4d16836e44f287eb8bf329e17bb0e6511
feature8_7_1_project_metrics.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_project_metrics.csv,1016,5fa82a730dbf600d5390634dfb2dad54f65eb96e96fc6b27bcfd41324e4723a8
feature8_7_1_spatial_metrics.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_spatial_metrics.csv,426,216bd1e28e2a75dcaabc18a5fc9c73e930ca9cdbcc4a6e7a848fbbe787ac96bd
feature8_7_1_temporal_signal_analysis.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_temporal_signal_analysis.csv,295,52aa795e2d743409456211fbb9a88c01e7081fb80e0c8312d15a8d79d97b2b8a
feature8_7_1_threshold_audit.csv,data/processed/modeling/temporal_spatial_cnn/audit/feature8_7_1_threshold_audit.csv,169,37b056c49539fd8cfd5db89228308689cf1fe56feed2e7197418210209e4cfbd
